Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-10-02,Villarreal,Ath Bilbao,3.0,1.0,H,1.0,1.0,D,1,19.0,10.0,6.0,5.0,11.0,15.0,7.0,2.0,3.0,3.0,0.0,1.0,05-06,6
2005-10-02,Sociedad,Betis,1.0,1.0,D,0.0,1.0,A,1,16.0,11.0,5.0,3.0,14.0,25.0,4.0,5.0,2.0,2.0,0.0,0.0,05-06,6
2005-10-15,La Coruna,Barcelona,3.0,3.0,D,1.0,2.0,A,1,9.0,13.0,4.0,6.0,19.0,18.0,2.0,3.0,4.0,4.0,0.0,0.0,05-06,7
2005-10-15,Ath Madrid,Real Madrid,0.0,3.0,A,0.0,1.0,A,1,15.0,14.0,3.0,7.0,16.0,16.0,7.0,5.0,5.0,2.0,1.0,0.0,05-06,7
2005-10-15,Alaves,Villarreal,1.0,1.0,D,1.0,1.0,D,1,12.0,9.0,4.0,4.0,16.0,18.0,12.0,2.0,2.0,5.0,0.0,0.0,05-06,7
2005-10-16,Zaragoza,Sociedad,0.0,1.0,A,0.0,1.0,A,1,17.0,7.0,2.0,3.0,14.0,16.0,11.0,5.0,2.0,1.0,0.0,1.0,05-06,7
2005-10-16,Ath Bilbao,Sevilla,0.0,1.0,A,0.0,1.0,A,1,21.0,10.0,3.0,3.0,9.0,17.0,6.0,3.0,1.0,2.0,1.0,0.0,05-06,7
2005-10-16,Betis,Getafe,1.0,0.0,H,1.0,0.0,H,1,13.0,13.0,3.0,6.0,26.0,19.0,4.0,5.0,2.0,4.0,0.0,1.0,05-06,7
2005-10-16,Espanol,Cadiz,0.0,2.0,A,0.0,0.0,D,1,7.0,8.0,1.0,4.0,18.0,18.0,4.0,4.0,1.0,3.0,1.0,0.0,05-06,7
2005-10-16,Mallorca,Santander,0.0,0.0,D,0.0,0.0,D,1,13.0,7.0,3.0,4.0,23.0,21.0,9.0,0.0,2.0,7.0,0.0,0.0,05-06,7
2005-10-16,Osasuna,Celta,2.0,0.0,H,0.0,0.0,D,1,10.0,14.0,4.0,3.0,25.0,17.0,3.0,7.0,4.0,2.0,0.0,0.0,05-06,7
2005-10-16,Valencia,Malaga,2.0,1.0,H,1.0,0.0,H,1,15.0,11.0,7.0,4.0,21.0,23.0,9.0,4.0,3.0,2.0,0.0,0.0,05-06,7
2005-10-22,Sevilla,Alaves,2.0,0.0,H,1.0,0.0,H,1,13.0,8.0,5.0,3.0,21.0,19.0,6.0,3.0,2.0,7.0,0.0,0.0,05-06,8
2005-10-22,Barcelona,Osasuna,3.0,0.0,H,0.0,0.0,D,1,24.0,6.0,10.0,1.0,10.0,21.0,7.0,2.0,1.0,4.0,0.0,0.0,05-06,8
2005-10-23,Real Madrid,Valencia,1.0,2.0,A,1.0,2.0,A,1,15.0,16.0,3.0,6.0,20.0,23.0,6.0,6.0,4.0,3.0,2.0,0.0,05-06,8
2005-10-23,Santander,Ath Madrid,0.0,1.0,A,0.0,1.0,A,1,8.0,12.0,3.0,5.0,20.0,20.0,10.0,4.0,2.0,2.0,0.0,0.0,05-06,8
2005-10-23,Celta,Espanol,1.0,0.0,H,0.0,0.0,D,1,19.0,12.0,5.0,4.0,18.0,21.0,3.0,1.0,3.0,4.0,0.0,1.0,05-06,8
2005-10-23,Getafe,Zaragoza,5.0,2.0,H,4.0,0.0,H,1,14.0,14.0,8.0,6.0,15.0,24.0,5.0,7.0,2.0,5.0,0.0,0.0,05-06,8
2005-10-23,Malaga,Betis,5.0,0.0,H,2.0,0.0,H,1,17.0,10.0,9.0,4.0,26.0,14.0,7.0,4.0,1.0,1.0,0.0,0.0,05-06,8
